mood_cluster,count,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_loudness,avg_acousticness,avg_instrumentalness,avg_liveness
0,61340,0.697374551679165,0.7343217965438544,0.7172104988588199,111.70253650146735,-6.364136159113147,0.15602399511623746,0.04769733460433651,0.17249011150961882
1,25723,0.4175058196944373,0.22700387443144246,0.2705762547136806,110.48042199587903,-15.121295960813262,0.843853406290092,0.04226011022159155,0.16816799751195444
2,50197,0.4925172580034659,0.7699095532203115,0.43911804091878015,150.04357377930938,-5.8518255075004575,0.10312778345976861,0.0870198837000219,0.1916372432615499
3,24224,0.30127102460369887,0.17813735475561432,0.165862471103038,103.58240303005279,-20.51692156538974,0.832453475451617,0.8341392180994052,0.13853486212021168
4,18971,0.540450798587317,0.6855242767908909,0.4422489431237152,107.6531177586842,-9.547085235359239,0.5261749597960057,0.04229091728058614,0.7595307047598964
5,51249,0.64219844875022,0.5043324237936353,0.3956857733809441,107.35022644344278,-8.907360163125132,0.3554279606749401,0.09647135895802847,0.14654738043669166
