feature,corr_with_popularity
danceability,0.2509690582498873
energy,0.2423560057651166
loudness,0.35800359223580686
speechiness,-0.15371083111186212
acousticness,-0.375502333801635
instrumentalness,-0.21319300140395533
liveness,-0.16830325255745962
valence,0.05413579578465996
tempo,0.07878059912779536
duration_ms,0.003960937863454217
